frame,ruler_y1,ruler_y2,strip_estimates_px_per_cm,px_per_cm
0,454,488,29.866|29.926|29.457|29.882,29.874131721870327
15,454,488,29.946|30.022|29.750|29.929,29.937409912889947
30,454,488,29.869|29.930|29.556|29.913,29.890713443119537
46,454,488,29.943|29.963|29.724|29.967,29.95321277047696
61,454,488,29.980|29.990|29.831|29.979,29.97948963682414
76,454,488,29.943|29.985|29.648|30.006,29.96430836170377
91,454,488,29.984|29.971|29.870|29.968,29.969942104583353
106,454,488,29.959|29.979|29.744|29.975,29.966717560972583
121,454,488,29.969|29.993|29.777|29.972,29.970701603314954
137,454,488,29.979|29.989|29.867|29.956,29.967294994669455
152,454,488,29.970|29.991|29.866|29.958,29.963991494585404
167,454,488,29.832|29.807|29.675|29.711,29.759092351293205
