component,frame,time_index,peak_x1_cm,peak_x2_cm,distance_cm,prominence_left_cm
direct_raw_broad_peak_distance,48,48,8.510169673142798,31.404194754617148,22.89402508147435,0.07201758692886871
direct_raw_broad_peak_distance,55,55,8.677035745165206,31.43756796902163,22.760532223856423,0.09998487817111526
direct_raw_broad_peak_distance,61,61,1.3349285761792624,31.43756796902163,30.102639392842367,0.017147216488181655
direct_raw_broad_peak_distance,74,74,3.871292870919861,21.091871503632348,17.22057863271249,0.24694820839415427
direct_raw_broad_peak_distance,81,81,13.616271477028477,36.04307155684008,22.426800079811606,0.5164181693159837
direct_raw_broad_peak_distance,100,100,1.7354071490330412,30.336251893673737,28.600844744640696,0.06214424962022164
direct_raw_local_peak_distance,48,48,8.510169673142798,21.025125074823382,12.514955401680584,0.07201758692886871
direct_raw_local_peak_distance,48,48,21.025125074823382,31.404194754617148,10.379069679793766,0.046992876765842746
direct_raw_local_peak_distance,55,55,8.677035745165206,17.020339346285596,8.34330360112039,0.09998487817111526
direct_raw_local_peak_distance,61,61,1.3349285761792624,11.713998255973028,10.379069679793766,0.017147216488181655
direct_raw_local_peak_distance,61,61,22.760532223856423,31.43756796902163,8.677035745165206,0.04531468162937116
direct_raw_local_peak_distance,68,68,19.05610542495897,29.26830903273033,10.212203607771357,0.10111255784501709
direct_raw_local_peak_distance,74,74,21.091871503632348,30.83685010974096,9.744978606108614,0.21059962017164519
direct_raw_local_peak_distance,81,81,13.616271477028477,25.163403660979096,11.54713218395062,0.5164181693159837
direct_raw_local_peak_distance,81,81,25.163403660979096,36.04307155684008,10.879667895860987,0.1082591575552998
direct_raw_local_peak_distance,87,87,2.1692589362913015,14.75096076678085,12.581701830489548,0.1253601437645828
direct_raw_local_peak_distance,87,87,14.75096076678085,26.13122687870906,11.380266111928211,0.1505240024093859
direct_raw_local_peak_distance,94,94,3.0369625108078218,11.11328039669236,8.076317885884539,0.10686259519363897
direct_raw_local_peak_distance,94,94,11.11328039669236,22.793905438260907,11.680625041568547,0.5382410333952657
direct_raw_local_peak_distance,94,94,28.06687331416899,37.44474656182831,9.37787324765932,0.06451749177911847
direct_raw_local_peak_distance,100,100,1.7354071490330412,10.078710750153432,8.343303601120391,0.06214424962022164
direct_raw_local_peak_distance,100,100,10.078710750153432,24.7962983025298,14.717587552376367,0.2059815155239187
direct_raw_local_peak_distance,107,107,10.379069679793766,18.989358996150006,8.61028931635624,0.39210812773271086
direct_raw_local_peak_distance,107,107,26.49833223715836,37.945344777895535,11.447012540737177,0.1342449795823019
separated_incident_profile_peak_distance,48,48,7.108494668154572,28.400605458213807,21.292110790059233,0.03150607481346529
separated_incident_profile_peak_distance,55,55,9.177633961232429,31.43756796902163,22.259934007789198,0.020847612645884618
separated_incident_profile_peak_distance,61,61,1.7354071490330412,29.30168224713481,27.56627509810177,0.08014629176482534
separated_incident_profile_peak_distance,68,68,13.716391120241921,36.944148345761086,23.227757225519163,0.16349717725182006
separated_incident_profile_peak_distance,74,74,3.5041875124705637,24.929791160147726,21.425603647677164,0.25392123764883523
separated_incident_profile_peak_distance,81,81,15.551917912488406,36.7439090593342,21.191991146845794,0.43341278808274536
separated_incident_profile_peak_distance,94,94,12.047730400017842,36.710535844929716,24.662805444911875,0.3634942227656951
separated_incident_profile_peak_distance,100,100,1.5351678626061518,30.035892964033405,28.500725101427253,0.13420144814001717
separated_incident_profile_peak_distance,107,107,9.911844678131024,26.998930453225583,17.087085775094558,0.30622722570196065
