video,experiment_folder,frame,time_s,crest1_px,crest2_px,dx_px,distance_cm
906c14e37f39c284cb542371456ef8e7.mp4,12,103,3.433333333333333,281.4080594544533,1033.4791730895683,752.0711136351151,27.256074510260447
906c14e37f39c284cb542371456ef8e7.mp4,12,104,3.466666666666667,329.4549088625907,1090.4567678399515,761.0018589773608,27.579736802385803
906c14e37f39c284cb542371456ef8e7.mp4,12,133,4.433333333333334,369.5162465168712,1110.4256461232533,740.9093996063821,26.85155889502972
906c14e37f39c284cb542371456ef8e7.mp4,12,134,4.466666666666667,369.5162465168712,1109.7970989519713,740.2808524351001,26.828779495285364
906c14e37f39c284cb542371456ef8e7.mp4,12,139,4.633333333333334,76.06643245746014,615.4488940023226,539.3824615448625,19.54795004735046
906c14e37f39c284cb542371456ef8e7.mp4,12,140,4.666666666666667,107.01336333531975,633.894428998983,526.8810656636633,19.094882549553244
906c14e37f39c284cb542371456ef8e7.mp4,12,141,4.7,147.8809497919441,652.596574304163,504.71562451221894,18.291576978280265
906c14e37f39c284cb542371456ef8e7.mp4,12,149,4.966666666666667,225.43695659515345,925.0109477228432,699.5739911276897,25.353507775951762
906c14e37f39c284cb542371456ef8e7.mp4,12,157,5.233333333333333,225.23238388818748,1002.3175954502103,777.0852115620228,28.16261925655093
906c14e37f39c284cb542371456ef8e7.mp4,12,158,5.266666666666667,245.8466884490887,1027.9828710472927,782.1361825982041,28.34567327952211
906c14e37f39c284cb542371456ef8e7.mp4,12,159,5.3,255.47217581884968,1072.2635669049225,816.7913910860728,29.60162491439934
906c14e37f39c284cb542371456ef8e7.mp4,12,160,5.333333333333333,255.5345092452794,1072.2635669049225,816.7290576596431,29.599365866704986
906c14e37f39c284cb542371456ef8e7.mp4,12,172,5.733333333333333,233.90605691833363,1023.3224808006559,789.4164238823222,28.60951907188806
906c14e37f39c284cb542371456ef8e7.mp4,12,173,5.766666666666667,233.90605691833363,1023.3224808006559,789.4164238823222,28.60951907188806
906c14e37f39c284cb542371456ef8e7.mp4,12,174,5.8,233.90605691833363,1023.3224808006559,789.4164238823222,28.60951907188806
