frame,time_s,x1_px,x2_px,cm1,cm2,distance_cm,prom1_px,prom2_px,n_peaks
425,14.166666666666666,283.874558894426,672.5179220922896,200.31044461156944,180.10569889493394,20.2047457166355,9.616553414783425,5.253715011767611,2
430,14.333333333333334,302.0240773208463,677.019261875073,199.39627562305384,179.86300653005114,19.5332690930027,13.672060958318298,5.872927023861962,2
435,14.5,324.194390422907,681.5086207287388,198.27612034268498,179.6207393968241,18.655380945860884,17.480834514079334,4.538387932025785,2
445,14.833333333333334,359.39114552221196,775.3434353209957,196.48976320697597,174.505163403965,21.98459980301095,17.05987946158575,4.839707703959334,2
450,15.0,378.692468394614,775.5043028353532,195.50585071596237,174.49630640011296,21.00954431584941,18.879060545979314,4.62507230918078,2
455,15.166666666666666,398.79523115439866,779.7663574319549,194.4777588378457,174.26153613507233,20.216222702773365,19.008738187628808,4.612104226838255,2
470,15.666666666666666,89.78187092680837,457.5313148305921,209.9407589156933,191.45380591738143,18.486952998311864,4.542004147764146,20.242664045772983,3
540,18.0,289.8173755709014,711.5211231735402,200.01138977143657,177.99540206234352,22.015987709093054,8.880450070322638,17.411158396897008,2
545,18.166666666666668,305.1556419488892,733.1122088275291,199.23828612060083,176.81988577793913,22.4184003426617,13.560509266318206,14.956035476353804,2
550,18.333333333333332,320.2526799607929,751.2049065021957,198.4755574369981,175.830742928146,22.64481450885208,13.420314168063157,14.142134671384781,2
555,18.5,342.52140912646365,771.3062963577843,197.34720972351852,174.7273395070204,22.61987021649813,15.076435135759255,14.487835003271755,2
560,18.666666666666668,365.38398712909463,790.6153211075823,196.18460052276941,173.66296382710632,22.52163669566309,19.625043069603976,15.321839268547365,2
565,18.833333333333332,380.89551833385207,806.0744481640688,195.3933494555945,172.8076101255677,22.585739330026797,20.041397658141022,15.69729617378897,2
570,19.0,398.9372192035969,821.1893056927469,194.47048508363557,171.96852353628964,22.50196154734593,20.68055061313953,15.043979555638373,2
575,19.166666666666668,417.05539931640914,838.6229660391363,193.5409028753731,170.99725694259286,22.543645932780237,20.44674337292679,15.138056301716006,2
580,19.333333333333332,433.4434668119217,854.5769368830084,192.69762280971918,170.10514803392658,22.592474775792596,19.98004394511719,15.958756320181351,2
585,19.5,454.9838764402473,870.1574886230034,191.58559385148803,169.2308611381278,22.35473271336022,21.0980461932092,11.117549736559909,2
590,19.666666666666668,473.4200587113946,886.0071667592017,190.6304921553372,168.33833766944684,22.292154485890364,20.610244070513204,11.042022837095544,2
595,19.833333333333332,495.40081789372886,902.7408721947794,189.48766940910144,167.392564626662,22.09510478243945,22.138754737654267,10.342365953390129,2
640,21.333333333333332,150.76893571645059,658.2681660929836,206.9417625576203,180.87253043767507,26.06923211994524,5.747131827171984,21.458983613777605,2
645,21.5,163.51256677370594,679.4583407619739,206.3121385298644,179.73140964176213,26.58072888810227,4.370607606233364,21.53170422683695,2
655,21.833333333333332,260.74895580718123,713.1744283653883,201.47164033533926,177.9055748598095,23.56606547552977,8.661123631891826,20.60517174181723,2
660,22.0,287.7424335354192,727.0955821281274,200.11583569427742,177.14798931154314,22.96784638273428,8.115100815826906,20.071600042926207,2
665,22.166666666666668,311.7422348360355,742.4074948924867,198.90573932732997,176.31217469131084,22.593564636019124,13.622314857176718,17.489609634033513,2
670,22.333333333333332,335.4069031625921,758.5561807630937,197.708130206617,175.42776342841535,22.280366778201653,14.446622872171645,14.565372601515548,2
675,22.5,349.8272730355418,777.954881838572,196.97615575041567,174.36134532102193,22.614810429393742,20.338423313504904,12.216805336675748,2
680,22.666666666666668,368.026487819878,801.194795031374,196.04994686866826,173.0779106347985,22.972036233869744,20.661784285127567,10.007879619743562,2
685,22.833333333333332,387.09847432190315,825.349490754845,195.0763688409284,171.73708833773983,23.339280503188576,19.419749320769142,10.11493868910162,2
690,23.0,403.98459872212663,844.8152835793541,194.21180591171372,170.65137109410594,23.560434817607785,20.791255034199253,9.143059149602948,2
695,23.166666666666668,424.0980047842291,858.5014371735018,193.1788009775402,169.88521474139995,23.293586236140243,22.345918131030885,4.563614013617951,2
700,23.333333333333332,443.50669243423204,892.7929710684485,192.17862311787357,167.95524208110905,24.223381036764522,23.254664226523857,4.055516774001603,2
755,25.166666666666668,166.32209530733022,648.8327648702996,206.173185635741,181.37907814094444,24.79410749479655,4.5035776430780174,16.784629375446514,2
760,25.333333333333332,160.4275543476133,671.3897532588209,206.46465662119542,180.16649013681769,26.29816648437773,7.10160069653665,17.071413643319545,2
770,25.666666666666668,278.55527395043106,717.0631665216762,200.5778948390999,177.6941711005994,22.88372373850052,6.883415518613845,20.306277147970718,2
775,25.833333333333332,302.97062118424464,732.5601183585662,199.34852987471135,176.85001001216853,22.49851986254282,11.96335270759431,23.137359564838846,2
780,26.0,322.3823941206343,739.6608874094555,198.36781643500842,176.46229821998256,21.905518215025864,16.14965064194712,23.142499675210104,2
785,26.166666666666668,335.3311842924994,748.435825837299,197.71196925238297,175.9823750892657,21.72959416311727,16.05427617643386,21.399454649862548,2
790,26.333333333333332,361.43374263121603,760.5111184378322,196.3857849977542,175.3204926815698,21.06529231618441,19.729251746787952,18.616095888474433,2
795,26.5,378.0589392895699,774.7591041526322,195.5381950581929,174.53733280140088,21.000862256792033,20.932726687337777,13.917887842822779,2
800,26.666666666666668,403.60112168134935,793.5832521974953,194.23146686790594,173.49896983385037,20.73249703405557,18.099458311443584,6.670968920218172,2
880,29.333333333333332,275.65490914004727,738.0642368792132,200.7236333802016,176.54952784158812,24.174105538613475,5.098836979422401,27.03869849500171,2
885,29.5,294.0338042958381,744.4798278663088,199.7990469432678,176.19884813751605,23.600198805751745,9.18401595128654,30.70803608244188,2
890,29.666666666666668,311.4460300362885,751.6847454496568,198.9207015135428,175.80445840098136,23.11624311256145,16.586791610886166,29.305836567080917,2
895,29.833333333333332,327.173018906573,758.3722321107126,198.12533023186936,175.43785471361647,22.68747551825288,21.372966785093865,24.870643001067265,2
900,30.0,339.0359900672272,768.0557169725415,197.52407674928128,174.9060897295226,22.617987019758687,25.844339382844794,21.129952281458998,2
905,30.166666666666668,358.3091960532096,800.9181297133852,196.54482582855354,173.09322749720604,23.451598331347498,25.775247261899835,16.781180822026215,2
910,30.333333333333332,376.5904851316765,830.2624218181737,195.61315291792874,171.4635051196477,24.149647798281052,22.98229203734519,8.069291297650352,2
915,30.5,391.52624709013924,851.3281967376821,194.84990373976706,170.28706587585427,24.56283786391279,20.80799145950664,5.724745272361815,2
920,30.666666666666668,419.80681998497585,870.1439410604946,193.39948774595314,169.23162266825435,24.167865077698792,18.76969481300523,4.993953654176266,2
1000,33.333333333333336,285.97604096286165,753.5856402041562,200.20472438409453,175.7003053485931,24.504419035501428,10.4644682809992,25.91518282893236,2
1005,33.5,299.27249844135997,766.5068190501036,199.53503195070337,174.99122047923018,24.54381147147319,15.486525567810872,24.33646005368405,2
1010,33.666666666666664,310.37028778224396,773.7279637350406,198.97503468912475,174.594090748863,24.380943940261744,23.629166454846143,22.034344506459092,2
1015,33.833333333333336,319.1177071498992,780.9347304407688,198.53296042211787,174.19714023208465,24.335820190033218,19.92711775371305,16.76443323754023,2
1020,34.0,327.51730242465777,808.2312372849054,198.10789667557455,172.6880469856805,25.41984968989405,20.585718401027975,11.576517038617283,2
1025,34.166666666666664,350.3405850936417,831.2582178810815,196.95006908436017,171.40801687771562,25.54205220664454,17.577375606502756,7.676218234399698,2
1030,34.333333333333336,365.7823170948886,861.8948222395102,196.16430656512333,169.69489072483563,26.469415840287695,16.525259970964953,4.078644552056687,2
1085,36.166666666666664,589.1605380124671,855.8126632675086,184.5608721299235,170.03591728526453,14.524954844658964,17.722426049468027,5.921875970830683,2
1110,37.0,270.44210433857137,724.7919440585731,200.98540946970547,177.27350414659725,23.711905323108226,4.908167127016725,28.8923401058492,2
1115,37.166666666666664,287.5166185305554,730.4483439912212,200.1272005169623,176.96520466963221,23.161995847330076,9.406961178044412,29.830703969178558,2
1120,37.333333333333336,298.0343787581134,738.1800758731131,199.59744865325973,176.5432002065357,23.054248446724046,12.932568530096376,29.480117375264456,2
1125,37.5,308.859205474874,747.8660309574445,199.05134059146528,176.01356551270476,23.037775078760518,14.147707567257555,24.386566425097556,2
1130,37.666666666666664,313.56502268501373,753.7961672958044,198.81364977364572,175.68876765882737,23.124882114818348,20.243449183510847,18.550621614444424,2
1135,37.833333333333336,328.5601326884012,774.8409894929886,198.0550849064543,174.5328249800088,23.522259926445514,20.538201563871382,12.41811691209142,2
1140,38.0,340.80811057435756,827.3747705439731,197.43416303064177,171.6243436305302,25.809819400111564,20.693688961186865,9.460690600703913,2
1145,38.166666666666664,377.96519456090243,853.6094240131952,195.54298083740971,170.15933902637664,25.383641811033073,17.905433266114585,7.200930142797688,2
1150,38.333333333333336,397.4408791301342,871.8207780519781,194.54713081784678,169.13734742623137,25.409783391615406,17.04966137404557,4.246692256578854,2
1155,38.5,430.93120004032033,901.5294429563778,192.82704989242737,167.46115390689005,25.36589598553732,16.980720820457464,4.570426469384131,2
