video,frame,time_s,crest1_px,crest2_px,dx_px,distance_cm
4.mp4,75,2.5,215.0458948962915,994.5222732925755,779.476378396284,24.62800563653346
4.mp4,76,2.533333333333333,269.83600199876116,1023.9463096042131,754.1103076054519,23.826550003331814
4.mp4,77,2.566666666666667,325.68777449557984,1107.4466656469317,781.7588911513519,24.700122943170676
4.mp4,78,2.6,377.55526375966537,1144.0594271945902,766.5041634349247,24.21814102480015
4.mp4,80,2.6666666666666665,492.0598146804141,734.210780532174,242.1509658517599,7.650899395000313
4.mp4,81,2.7,542.3252391798098,813.5845685097537,271.25932932994385,8.57059492353693
4.mp4,82,2.7333333333333334,406.67540728469226,598.7782371996008,192.1028299149085,6.06959968135572
4.mp4,82,2.7333333333333334,598.7782371996008,861.1802712106319,262.4020340110311,8.290743570648692
4.mp4,83,2.7666666666666666,394.9342077538027,825.9909560624127,431.05674830861,13.619486518439494
4.mp4,89,2.966666666666667,198.6695752113261,982.4444753060183,783.7749000946922,24.763819908205125
4.mp4,93,3.1,415.36507945830533,1201.8294544388507,786.4643749805454,24.84879541802671
4.mp4,97,3.2333333333333334,399.56885515220245,644.9427293511575,245.37387419895504,7.752729042621013
4.mp4,97,3.2333333333333334,644.9427293511575,907.4904101035181,262.54768075236063,8.295345363423717
4.mp4,98,3.2666666666666666,701.6889290582382,916.0656921432658,214.37676308502762,6.773357443444791
4.mp4,104,3.466666666666667,224.2305152679964,982.969243081914,758.7387278139176,23.97278760865459
4.mp4,108,3.6,428.78514817842614,709.9779548609715,281.1928066825454,8.884448868326869
4.mp4,109,3.6333333333333333,474.4466180383499,725.5194710464517,251.0728530081018,7.932791564237023
4.mp4,110,3.6666666666666665,527.0058118240233,771.4224196753056,244.41660785128227,7.7224836603880656
4.mp4,113,3.7666666666666666,710.4462504145251,962.2869225556369,251.84067214111178,7.957051252483785
