type,distance_cm
direct_peak,22.321781
direct_peak,22.035237
direct_peak,22.121200
direct_peak,17.507841
direct_peak,25.932236
incident_peak,24.957986
incident_peak,22.522362
incident_peak,22.866215
incident_peak,22.980833
incident_peak,20.230010
incident_peak,21.519458
incident_peak,22.923524
incident_peak,24.384898
incident_peak,25.960891
incident_peak,27.708809
incident_peak,28.339206
incident_peak,28.224589
incident_peak,26.820523
incident_peak,24.700097
incident_peak,24.184318
incident_peak,18.625363
incident_peak,20.258664
